playerID,yearID,stint,teamID,lgID,W,L,G,GS,CG,SHO,SV,IPouts,H,ER,HR,BB,SO,BAOpp,ERA,IBB,WP,HBP,BK,BFP,GF,R,SH,SF,GIDP,salary
blazemi01,2015,1,MIL,NL,5,3,45,0,0,0,0,167,40,15,3,18,47,0.2,2.43,1.0,3,1.0,0,222.0,17,17,1.0,2.0,2.0,514200.0
blevije01,2015,1,NYN,NL,1,0,7,0,0,0,0,15,0,0,0,0,4,0.0,0.0,0.0,0,0.0,0,15.0,1,0,0.0,0.0,1.0,4000000.0
bolsimi01,2015,1,LAN,NL,6,6,21,21,0,0,0,328,104,44,11,45,98,0.251,3.62,3.0,6,1.0,1,466.0,0,49,3.0,2.0,13.0,515000.0
boxbebr01,2015,1,TBA,AL,4,10,69,0,0,0,41,189,54,26,9,32,74,0.231,3.71,5.0,5,2.0,1,271.0,53,29,2.0,1.0,4.0,519200.0
boyerbl01,2015,1,MIN,AL,3,6,68,0,0,0,1,195,62,18,5,19,33,0.254,2.49,4.0,5,0.0,0,268.0,12,24,3.0,2.0,5.0,950000.0
brachbr01,2015,1,BAL,AL,5,3,62,0,0,0,1,238,57,24,7,38,89,0.203,2.72,3.0,1,0.0,0,324.0,12,25,3.0,2.0,6.0,1250000.0
brachsi01,2015,1,ARI,NL,0,0,13,0,0,0,1,37,9,2,2,4,17,0.2,1.46,1.0,1,1.0,0,50.0,3,2,0.0,0.0,0.0,509300.0
breslcr01,2015,1,BOS,AL,0,4,45,2,0,0,1,195,69,30,12,23,46,0.27899999999999997,4.15,5.0,2,2.0,0,280.0,18,33,3.0,5.0,7.0,1500000.0
brittza01,2015,1,BAL,AL,4,1,64,0,0,0,36,197,51,14,3,14,79,0.214,1.92,1.0,5,1.0,0,253.0,58,16,0.0,0.0,8.0,6750000.0
brookaa01,2015,1,KCA,AL,0,0,2,0,0,0,0,13,6,3,0,0,3,0.33299999999999996,6.23,0.0,0,0.0,0,18.0,2,3,0.0,0.0,1.0,510000.0
brookaa01,2015,2,OAK,AL,3,4,11,9,0,0,0,153,67,38,9,14,35,0.321,6.71,0.0,0,4.0,0,232.0,1,38,3.0,2.0,6.0,510000.0
broxtjo01,2015,1,MIL,NL,1,2,40,0,0,0,0,110,41,24,5,10,37,0.287,5.89,1.0,0,0.0,0,156.0,10,24,2.0,1.0,5.0,3750000.0
broxtjo01,2015,2,SLN,NL,3,3,26,0,0,0,0,71,20,7,2,12,26,0.233,2.66,0.0,0,0.0,0,101.0,5,8,3.0,0.0,2.0,3750000.0
buchhcl01,2015,1,BOS,AL,7,7,18,18,1,0,0,340,114,41,6,23,107,0.26,3.26,0.0,3,5.0,0,469.0,0,48,1.0,2.0,13.0,13000000.0
bumgama01,2015,1,SFN,NL,18,9,32,32,4,2,0,655,181,71,21,39,234,0.222,2.93,2.0,1,7.0,0,869.0,0,73,5.0,4.0,11.0,9916667.0
cahiltr01,2015,1,ATL,NL,0,3,15,3,0,0,0,79,36,22,2,11,14,0.33,7.52,1.0,1,1.0,0,124.0,6,23,2.0,1.0,4.0,4250000.0
cahiltr01,2015,2,CHN,NL,1,0,11,0,0,0,0,51,8,4,2,5,22,0.14300000000000002,2.12,0.0,1,1.0,0,63.0,0,4,1.0,0.0,1.0,4250000.0
cainma01,2015,1,SFN,NL,2,4,13,11,0,0,0,182,71,39,12,20,41,0.293,5.79,0.0,1,4.0,0,271.0,0,39,1.0,4.0,6.0,20833333.0
caminar01,2015,1,PIT,NL,5,1,73,0,0,0,0,224,63,30,7,29,73,0.22399999999999998,3.62,2.0,6,6.0,1,318.0,19,31,1.0,1.0,5.0,532500.0
cappsca01,2015,1,MIA,NL,1,0,30,0,0,0,0,93,18,4,2,7,58,0.168,1.16,0.0,2,2.0,0,118.0,8,5,1.0,1.0,2.0,987500.0
capuach01,2015,1,NYA,AL,0,4,22,4,0,0,0,122,52,36,6,22,38,0.31,7.97,1.0,0,3.0,0,196.0,7,38,2.0,1.0,2.0,1500000.0
carraca01,2015,1,CLE,AL,14,12,30,30,3,1,0,551,154,74,18,43,216,0.228,3.63,2.0,5,5.0,0,730.0,0,75,1.0,6.0,17.0,4500000.0
cashnan01,2015,1,SDN,NL,6,16,31,31,0,0,0,554,200,89,19,66,165,0.27899999999999997,4.34,2.0,3,6.0,0,804.0,0,111,8.0,6.0,17.0,7150000.0
castrmi01,2015,1,TOR,AL,0,2,13,0,0,0,4,37,15,6,2,6,12,0.306,4.38,2.0,2,0.0,1,57.0,9,7,0.0,2.0,1.0,509500.0
castrmi01,2015,2,COL,NL,0,1,5,0,0,0,0,16,6,6,2,4,6,0.273,10.13,0.0,0,0.0,0,26.0,3,6,0.0,0.0,0.0,509500.0
cecilbr01,2015,1,TOR,AL,5,5,63,0,0,0,5,163,39,15,4,13,70,0.19699999999999998,2.48,3.0,4,2.0,0,214.0,24,17,1.0,0.0,3.0,3800000.0
cedenxa01,2015,1,WAS,NL,0,0,5,0,0,0,0,9,3,2,1,2,4,0.25,6.0,0.0,2,1.0,0,15.0,1,2,0.0,0.0,0.0,524100.0
cedenxa01,2015,2,TBA,AL,4,1,61,0,0,0,1,129,37,10,3,12,43,0.23,2.09,2.0,4,1.0,0,174.0,9,11,0.0,0.0,5.0,524100.0
chafian01,2015,1,ARI,NL,5,1,66,0,0,0,2,225,56,23,3,30,58,0.207,2.76,6.0,2,1.0,0,306.0,6,23,3.0,2.0,5.0,519700.0
chapmar01,2015,1,CIN,NL,4,4,65,0,0,0,33,199,43,12,3,33,116,0.18100000000000002,1.63,1.0,7,5.0,0,278.0,54,13,0.0,2.0,0.0,9468443.0
chaveje01,2015,1,OAK,AL,7,15,30,26,0,0,1,471,164,73,18,48,136,0.268,4.18,2.0,3,2.0,0,672.0,3,78,4.0,6.0,12.0,4000000.0
chenwe02,2015,1,BAL,AL,11,8,31,31,0,0,0,574,192,71,28,41,153,0.262,3.34,0.0,3,5.0,0,792.0,0,78,5.0,8.0,15.0,12500000.0
cingrto01,2015,1,CIN,NL,0,3,35,1,0,0,0,100,31,21,3,25,39,0.25,5.67,3.0,2,3.0,1,155.0,7,21,1.0,2.0,3.0,530000.0
